Master Record Number,Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
902384360,2015,2,1,Weekend,100,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,JEFFERSON & TENTH,39.17145984,-86.50680459
902384470,2015,1,7,Weekend,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,9TH & COLLEGE,39.170544,-86.534768
902384482,2015,2,1,Weekend,1100,2-Car,No injury/unknown,UNSAFE BACKING,NORTH WALNUT,39.19396833,-86.53335146
902384628,2015,1,7,Weekend,1900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EAST RHORER & SOUTH WALNUT STREET,39.12144,-86.526496
902384641,2015,2,1,Weekend,1500,2-Car,Incapacitating,IMPROPER TURNING,ATWATER & JORDAN,39.163168,-86.516384
902384754,2015,2,1,Weekend,1800,1-Car,No injury/unknown,IMPROPER TURNING,SR45E,39.21936967,-86.44920774
902384755,2015,1,7,Weekend,1800,1-Car,Incapacitating,RAN OFF ROAD RIGHT,HARRODSBURG & W POPCORN,38.85405138,-86.54503986
902384833,2015,1,7,Weekend,300,1-Car,No injury/unknown,DRIVER ASLEEP OR FATIGUED,E CHAMBERS & SR37,39.30651541,-86.51481628
902385040,2015,2,2,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,1425 S CURRY & GIFFORD,39.156896,-86.582704
902385118,2015,2,2,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BUICK CADILLAC & COLLEGE MALL,39.15816,-86.497792
902385244,2015,2,2,Weekday,1100,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,SARE & SOUTH MEADOW,0,0
902385272,2015,2,2,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E COVENANTER & S CLARIZZ,39.15462032,-86.49176401
902385416,2015,2,2,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,11TH & VERNAL,39.17323818,-86.55512325
